           9.1770573566085e-02           1.0044669672261e-01
           0.0000000000000e+00           0.0000000000000e+00
           0.0000000000000e+00           0.0000000000000e+00
          -3.6800000000000e+01          -3.2990476190476e+01
           0.0000000000000e+00           0.0000000000000e+00
          -9.0982144463883e-01          -8.9930353087670e-01
           0.0000000000000e+00           0.0000000000000e+00
          -9.8893635286830e-02          -1.0903795697697e-01
                             2                             2
           7.0000000000000e+02           0.0000000000000e+00
